index,Review,sentiment_predicted,category
0,재미있게 보았습니다.,1,story
1,분명 아쉬움도 있지만 드림웍스 최고의 시리즈의 포스는 어디 안갔더라~,1,story
2,"초등 2,5학년 조카들과 재미있게 봤어요 ~",1,story
3,좋아요 재미있어요. 쿵푸팬드5편도 기대,1,story
4,아이들이 너무 좋이했어요.,1,story
5,재미있게 봤어요 다만 서사에 비해 마무리가 조금 아쉬웠어요,1,story
6,다음 시리즈도 기대되요,1,story
7,쿵푸팬더 넘 기여워용~~,1,story
8,전작들에 비해 아무래도 성장한 포의 모습이 이젠 놓아줘야 하는구나 싶었네요,1,story
9,포의 귀여움은 그대로 5까지는 제작하지말자,1,story
10,세대교체가 반드시 필요한 것일까,0,story
11,믿고보는 쿵푸팬더! 아빠들과 젠도 좋긴한데 다른 히어로들은 빠져서 아쉬웠어요ㅜㅜ,1,story
12,"풍부한 액션, 조금은 부족한 서사",0,story
13,"포랑 젠의 우정, 의리, 의협심이 보기 좋았다!",0,story
14,3편이 8년 전이라니.. 늙어가고 싶지 않다..,0,story
15,포바오 귀여워 만두 많이 먹자,0,story
16,soso~했어요 나름뭐~,1,story
17,어른이봐도 너무 재미있어요,1,story
18,좋았어요 아이들이 더 좋아할거같네요,1,story
19,애들이랑 즐겁게 잘 봤습니다 쿵푸펜더 넘 잼나요^^,1,story
20,벌써 4번째 시리즈인데 너무 재밌어요!!,1,story
21,영화 잘 봤습니다. 좋았습니다.,1,story
22,영화 잘 봤습니다. 좋았습니다.,1,story
23,"역시나 아름다운 풍경들과 컨셉, 아트...👍 5인방이 나오지 않아 기존 팬들에겐 최악의 영화겠지만 포의 서사만을 좋아하는 나로썬 만족했다. 매력적인 빌런의 특성을 제대로 살리지 못한건 아쉽.. 잘만 굴렸으면 1편 타이렁, 2편 셴(?)🦚 을 능가했을텐데 빌드업이 아쉬웠다.",1,story
24,너무 재미있었어 2번이나 봤어용,1,story
25,쿵푸팬더는 쿵푸팬더다! 즐겁게 봤어요🙂,1,story
26,팬더들은 우리를 기분 좋게 만들어주는 존재 같아요,1,story
27,쿵푸팬더4(더빙)쿵푸팬더4(더빙),0,story
28,[8] 믿고보는 쿵푸팬더는 소소한 웃음과 함께 할 수 있어서 좋았다 (쿵푸팬더 파이팅 OST가 안나온건 아쉬움),1,directing
29,좋았습니다 쵝오입니다!!,1,story
30,잊혀질때쯤 한번씩 나와주면 재밌게 보는 시리즈,1,story
31,"쿵푸 팬더, 이 세계를 지키리.",0,story
32,너무 재밌게 잘봤어요!,1,story
33,아쉬운 부분이 없진 않았으나 포의 이야기를 변화로 올바르게 마무리하고 다시 시작할 수 있는 응원을 관객에게 복돋아준다,1,story
34,재밌었습니다. 또 보고 싶네요.,1,story
35,아이가너무잼있었다고해요 내용이어럽지않아서 아이들이편하게보기좋은거같아요,1,story
36,돌아온 포와 신나는 여행같은 영화!,1,story
37,아이들이 재미있어했어요.,1,story
38,옛 향수를 불어일으키고 볼만 했어요~,1,story
39,재미있게 봤습니다 그러나 전편들보다는 덜 재미있었어요,1,story
40,재미는 아쉽네요. 그래도 추억도 살리고 무빙이 좋았어요.,0,story
41,역시 재밌었어영 졸지도않고 끝까지다봤어여 팬더너무귀여워써여 ㅋㅋㅋ ~~~,1,story
42,진짜 재미있습니다 맘껏 웃을 수 있었어요,1,story
43,오랜만에 보는 쿵푸팬더 아이와 함께 보기 좋아요.!!!,1,story
44,재밌었는데 영화 시간이 짧아서 아쉬웠어요,1,story
45,오랜만에 쿵푸팬더 재미있게 잘봤어요,1,story
46,최고의 영화 인생 영화 정말 최고,1,story
47,확땡기는 한방이 없다 1편의 경이로움도 ott나올때 볼껄,0,story
48,이너피스~이너피스~,1,story
49,"24/04/13 쿵푸팬더4 B- 빌런의 무게가 작품에 가져다줄 수 있는 크기를 알기 싫었지만 알게 해준 영화, 최고의 브릿지 아쉬운 마무리",1,story
50,나도 이제 이너 피이스~ 하고 싶다,0,story
51,"영화 전개 나쁘지 않았는데, TTT 상태가 별로네요.",0,story
52,귀염둥이 푸바오가 떠나고 포가 돌아왔네요~~너무 재밌었요!!,1,story
53,조카가 친구들과 재밌게 봤다네요. 쿵푸팬더는 늘 정답?,1,story
54,쿵팬은 언제나 재밌네요,1,story
55,시리즈였는데 한번도 보질못하고 봤는데 아이도 재미있어라하고 잘봤어요,1,story
56,지루한 듯 지루하지 않은데 전편들만 못한 듯,0,story
57,너무 재밌었어요 ㅎㅎ 또또 보고싶어요~~,1,story
58,재밌게 잘 봤어요👍힐링 영화,1,story
