index,Review,sentiment_predicted,category
0,소문대로 정말 재미있었습니다 몰입력이 최고인것 같아요!!,1,story
1,굿짱입니디 정말 재밌었어요,1,story
2,무서운 영화 잘보는데 쫌 무서웠다. 무서운거 못보는 남친은 중간에 내 얼굴만 봤다ㅋㅋㅋ,0,story
3,기대 안하고 봤는데 생각보다 너무 재미있었어요ㅎㅎ,1,story
4,너무너무 흥미진진하고 잼있었어요!! 배우님들의 연기가 정말 굉장했습니다. 잘봤습니다. ^^,1,actor
5,공포보단 스릴러에 가까운 k-오컬트,0,story
6,재밌어요~~!! ^^!!,1,story
7,"살아있는 연기, 보는 내내 몰입, 긴장감 최고",1,actor
8,스토리 탄탄ㆍ배우들의 연기가 결합이 되니 아주 굿!!,1,actor
9,어릴때 굿하는 모습을 보고 자라서 그런지 내용이 생소하지는 않았으나 감동을 이끌어 내기에는 역부족인거 같습니다 그러나 김고은 배우의 굿하는 모습은 소름이 돋네요,1,actor
10,장르의 변환이 인상적입니다,0,story
11,부모님과 재미있게 보고 왔습니다. 오랜만에 재미있는 스릴러였습니다.,1,story
12,미니시리즈 2부작을 연속으로 본 느낌 사람사는 드라마 같아서 좋았다,1,story
13,비오는 날 스산한 분위기에 찰떡인 영화! 심장이 쫄깃해지는 연출도 좋고 배우들의 연기도 좋고 너무 무섭지않아 재밌게 잘봤습니다!,1,actor
14,좀 무서웠는데 굿하는게 재밌었음,1,story
15,풍수지리나 굿에 대하여좀알게됭,1,story
16,소문듣고 찾아간 맛집. 맛있게 먹고 왔어요.,0,story
17,오랜만에 좋은영화 봤습니다,1,story
18,몰입도는 좋았지만 개연성이 살짝 아쉬움,0,story
19,간만에 공포영화 를 보니 무서워서요,1,story
20,"믿기진 않는 얘기지만 믿는 사람도 있겠고, 호러물로 봐도 손색없었어요",1,story
21,파묘 재미있네요...,1,story
22,재미있어요! 무섭다기보다는 놀래는 포인트가 많아요,1,story
23,다시 봐도 재밌어요 ^~^,1,story
24,배우들의 케미는 물론 연기도 좋았고 천만이 왜 되었는지 이해가는 스토리 전개였습니다:),1,story
25,"한국적인 소재를 잘 버무린 영화, 다소 어색한 설정도 있었지만 재미있습니다.",1,story
26,드디어 보게 되었네요. 소문대로 재미있게 보았습니다,1,story
27,전달하고자 하는 메시지가 확고해보였다 재밌었다,1,story
28,왜 천만 영화인지 알겠어요~ 미루지 말고 빨리 이 영화 보세요~ 깊은 여운이 남는 영화예요...,1,story
29,너무나재미있게봤습니다 오랜만에 한국영화,1,story
30,오컬트 작품으로 봤을때 전반적으로 좋았습니다. 구성이 더 탄탄했으면 하는 바램이 있습니다.,1,story
31,좋았습니다 재미났습니다,1,story
32,신선햇어요 지금 비오는 평일 월욜 한기느껴지는데 관람객도 3명이라 더 짜릿 전세내고 보는 느낌이엇어요^^ 간만에 이런장르 신선하니 즐감햇습니닷^^,1,story
33,너무 재미있어요 한국인이 좋아할만한 영화에요 최고^^ 배우들 고생했겠어요,1,actor
34,재밋게 정말 잘봤습니다.,1,story
35,대단한 긴장감을 자아내는 연출의 힘,1,directing
36,으시시하게 재밌습니당,1,story
37,유령의 실체가 들어나고 말을 하기 시작하면서 급속히 유치뽕짝해진다,0,story
38,다소 허황된 내용이 있긴하지만 시간은 순삭이네요,0,story
39,10시 50분 cgv 동래 7층 4관 H6에 앉았던 애미뒤진년아 영화 관람중에 휴대폰 만지는것도 모자라 전화벨도 켜놓고 자리에 앉아서 통화하는거는 도대체 어느나라식 영화관람이냐? 한번이면 그러려니하겠는데 휴대폰을 몇번이나 만지는거냐? 그럴거면 구석진 자리를 잡던가 개민폐네진짜 엄마없음?,0,story
40,"흙 맛이 떠오르고, 갑자기 임진왜란이 떠오르는 영화.",0,story
41,천만이상 관중이 선택한 영화를 느즈막히 보게되었네요 스토리며 배우님들 연기며 몰입감 장난아니네요 겁쟁이라서 혼영하기 무서워 미루다가 남편 휴무날 편하게 보고갑니다,1,actor
42,몰입도 최상이였어요~,1,story
43,무난한 오컬트 영화 연기가 다살렸다,1,actor
44,재미있게 봤어요~~ 좋았어요,1,story
45,기대를 너무 햇나봅니다,0,story
46,중간까지는 와 미쳤다... 중간이후는 쏘쏘,0,story
47,넘 황당하고 재미없었음.,0,story
48,기가 쪽쪽 빨려요.... 무섭긴한데 그만큼 재밌는 영화👍,1,story
49,무서운거 잘 못보는 편이라서 파묘도 무서웠지만 내용은 재밌었어요,1,story
50,연기 말해모해요 다들 굿!! 심장이 쫄깃하고 스토리 특이하고 잼있습니다!!!,1,story
51,몰입감도있고 소재는 어디선가 본듯하지만 그래서 더 이해가 잘된듯,1,story
52,초중반은 흥미로왔는데 후반부가 CG를 더쓰셨나 별로였습니다,0,directing
53,리뷰들 이해가 간다. 중반 넘어서면서 대사와 내용이 잘 전달되지 못하였다. 퍼즐을 끼워 맞추는데 시간이 걸렷다,0,story
54,잘 봤습니다 추천합니다,1,story
55,오…… 니…… 님…… 들어…… 오…… 셔…… 요…….,1,story
56,"1,100만을 넘기고 상영기간도 많이 되어 곧 극장에서 내려올것 같아 꼭 극장에서 관람하고 싶어 찾았는데 결론은 무난하게 봤다는 것. 스릴러 같으면서 공포물인듯 보였지만 영화를 다 보고나면 괜찮네... 라는 말이 나옵니다. 뭔지 모르겠지만 그렇게 평범한 말이 관람 후에 나옵니다. “괜찮네”....",1,story
57,아 무서워.. 그래도 내용자체는 너무 재밌음,1,story
58,나도 연어를 좋아해요ㅋㅋㅋ,1,story
59,연기들쩔어요 몰입제대루 간만에신선한영화였네요,1,actor
60,오랜만에 재밌는 한국 오컬트 영화. 초반~중반까지 하나의 사건이 밋밋하게 잘 풀려나갔다 싶을때 큰 사건 하나가 또 터진다. 중반~후반부 중에 도깨비같은 일본 귀신이 나타날때부터 알수없는 존재에 대한 두려움과 스릴을 느꼈다. 그래서인지 결말은 조금 허무하다는 느낌.,1,story
61,기대보다는 별로. 몰입감은 좋았으나 비현실적인 스토리 애매한 결론,0,story
62,긴장감에 가슴이 조마조마했어요.,1,story
63,so good so far so,1,story
64,배우들의 연기가 진짜 최고였습니다!!,1,actor
65,공포영화 안보는데 천만 넘어서 뭐징 궁금해하다 국뽕이 좀 있다는 친구말에 맘들이랑 셋이서 무서워 용쓰고 봤더니 온몸이 뻐근~~ 배우님들 연기는 짱이에요.,1,actor
66,최민식 뮤해진 김고은 이도현 연기 일품,1,actor
