index,Review,sentiment_predicted,category
0,재밌게 봤어요. 액션씬 굿~~~,1,directing
1,드러나버린 벌침이 가장 위대한? 것도 쏠 수 있을만큼 너무나도 치명적임에,1,story
2,저지 드레드 비키퍼 제이슨,0,story
3,상대하는 적의 스케일이 남다르네요,1,story
4,생각 비우고 오락용으로 신나게 싸움.,0,story
5,배우들의 연기가 좋았습니다.,1,actor
6,비키퍼 영화 재밌게 봤어요,1,story
7,영화 잼있고 볼만했어여,1,story
8,영화 잼있게 잘봤습니다,1,story
9,존윅 같네요~ 액션 좋은데 너무 강하긴 하네요,1,directing
10,제이슨스타뎀 나오는영화 재미있어서 보는데 요번 영화는 내용이 별로고 사람만 잡는 영화네요 주인공만 독보이는영화,0,story
11,존윅 st의 영화. 재밌었습니다!,1,story
12,예매만하고 못봤어요 ㅡㅡ,1,story
13,액션이 화끈해서 재믺네요,1,directing
14,재미있게잘 봤습니다.,1,story
15,스토리 전개는 뻔한 감이 있지만 킬링타임용으로 나쁘지 않아요!:) 오랜만에 액션영화 즐기고 왔습니다,1,story
16,생각보다 재미있게 본거 같아요! 흔하디흔한 액션물이지만 시원하니 알고봐도 재미있네요. 스토리는 좀 억지긴 하지만 그런게 맛이지 않을까요?ㅋㅋㅋ,1,story
17,10/8.7 존윅이 떠오르지만 약간은 다른맛..! 스토리 액션 이런거 다 비슷하지만 다르긴 다른영화 가장 큰차이점은 존윅은 총을 위주로한 건가타액션 이라면 비키퍼는 거의 육탄전에 가까운 영화고 근처 소품들이나 머리를 써서 싸우는 주변환경이용 약간 이런쪽이고 무장도 존윅은템전이면 이건노템전,0,directing
18,영화 재미있게 잘 보고 왔습니다,1,story
19,벌통을 건드리면 호되게 당할 수 있으니 조심! 응징하는 것에 거침 없네요. 시간 잘 갑니다.,1,story
20,비키퍼 생각보단 재밌어요,1,story
21,시원하고 거침 없는 액션에 올인.,0,directing
22,액션도 좋고 재밌었어요.,1,directing
23,크으으으으!! 말이 필요한가요? 보면 됩니다,1,story
24,예상보다 훨씬 좋았네요.,1,story
25,시원시원함이 맘에들어요,1,story
26,직진하는 액션은 좀 괜찮은편. 다음엔 이야기도 신경을 좀 더 써야.,0,story
27,재밌게 잘 봤습니다~~,1,story
28,잘 관람하고 왔습니다.,0,story
29,시원 시원한 액션에 권선징악 스토리라 후련한 맛이 있네요,1,story
30,시원시원한 복수액션극,1,directing
31,유쾌하고 너무 재밌었다!,1,story
32,법이 못하는걸 비키퍼가 한다 ㅋ 우리나라도 한사람 있는데 ㅠ,1,story
33,존윅 1~4편을 합쳐논 느낌..? 킬링타임용으론 괜찮아요.,1,story
34,제이슨스타뎀의 유쾌한 액션연기 재밌게 보았습니다,1,story
35,마치 존윅을 보는듯한 꿀벌지킴이,0,story
36,재미있었습니다 액션이 아직도 멋지네요,1,directing
37,재밌게 잘 봤습니다!!!,1,story
38,재미있어요!!!!^^*,1,story
39,재밌게 관람했습니다.,1,story
40,재미있게 잘 봤어요 앞으로도계속 잘 될까요,1,story
41,너무 재밌게 잘봤어요 배우연기 멋있어요,1,actor
42,제이슨 스테덤에게 요구하는 무언가를 충실히 보여준다. 딱 하나만 빼고^^,0,story
43,재밌게 관람했습니다.,1,story
44,beekeeper lets go,1,story
45,제이슨 시원시원 생각없이 보자,0,story
46,벌집을 건드리면 안 돼!,0,story
47,너무너무재밌어요!!!,1,story
48,킬링 타임용 영화라고 생각,0,story
49,뻔한 명언과 같은 대사들에 신물이 난다,0,story
50,화려한 볼거리와 액션 시퀀스가 돋보이는 영화!!,1,directing
51,비키퍼 비키퍼 비키퍼 비키퍼,0,story
