index,Review,sentiment_predicted,category
0,킬링타임용으로 적절하네요,1,story
1,유치하지만 재미있어요,1,story
2,전작들에 비해 덩치들이 엄청 싸워서 재밌네요,1,story
3,어투투우융유오오오오,0,story
4,타격감 하나는 끝내준다,0,story
5,이제는 금쪽이 고질라와 너무 조숙한 콩이 너무나 사랑스럽다 ㅋㅋㅋ,0,story
6,졸잼~한국 이상한거 보다 나음,1,story
7,기대를 너무 했던건가요.. 그냥 저냥..ㅜㅜ,0,story
8,이게 뭐야 ㅋㅋㅋ 끝까지 보느라 힘들었다....,0,story
9,겁나 유치한데 겁나 잼나네요 스트레스 풀리고 시원시원합니다~,1,story
10,시간보내기 좋은 영화입니다,0,story
11,몬스터버스의 화려한 복귀,1,story
12,클리셰에 클리셰가 버무려진 영화. 근데 그걸 몬스터들이 하니까 너무 웃겨서 재밌게봄. 저세계에 사는 인간들이 점점 불쌍해지지만 생각해보니 이건 도시 때려부수는 맛에 보는 영화라 어쩔 수 없다,1,story
13,영화 좋아했는데 만족스럽더라고요,1,story
14,대박입니다 별 아무생각없이 갔다 아무생각없이 2시간동안 스크린만 열심히봤네요 영화관에서 봐야 스케일넘치고 박진감넘치는 모습을 볼수있네요 박진감 쩝니다,1,story
15,너무 재밌게 잘봤습니당,1,story
16,암생각없이 멍~때리면서보믄 스트레스 날아감!!,0,story
17,고질라×콩-뉴 엠파이어 정말 훌륭했어요,1,story
18,진짜 재미있었습니다 !,1,story
19,굿! 영상이 화려하고 보는맛이있네요.,1,directing
20,스토리는 엉망 괴수들은 굿,0,story
21,고릴라 영화 오랫만에 동심으로 돌아가 즐겁게 잘봤습니다,1,story
22,콩 너무 귀엽네 가벼운 마음으로 봤는데 막판에 눈물 찔끔 지루하지 않고 두시간 순삭,0,story
23,재미있게 봤네요. ~~,1,story
24,4DX라 그런지 화끈하고 재미있네요~,1,story
25,재미있게 봤어요 역쉬 화려하네요 ~,1,story
26,믿고 보는 고질라 세계관이 2중이라 보면서 놀랐어요,1,story
27,그련대로볼만했네요 킬링타임용,1,story
28,고질라 X 콩 지구를 지켜라!,0,story
29,역시 괴수 영화는 관에서 봐야돼요.,1,story
30,그양 시간 보내기요..?,0,story
31,킬링타임용으로 괜찮아요,1,story
32,넘 기여운거 아닌가요?ㅋㅋ 넘 재밌게봤어요!!,1,story
33,완전 재밌음. 할아버지 킹콩과 사춘기 고질라의 콜라보~,1,story
34,다 때려부숩니다 ㅎㄷㄷ,1,story
35,따뜻한 가족 영화. 킹콩을 적대시하던 고질라가 이번만 협력해 주는 거라면서 악수를 청할 때 감동의 눈물을 흘렸습니다.,1,story
36,고질라와 콩의 콜라보 시간잘가네요,0,story
37,재미나게 잘 봤습니다.,1,story
38,"고퀄리티 그래픽, 몰입감도 장난 아님 ㅠㅠ 최소 2번은 보고 싶을 정도로 재밌게 본 작품..!!!!",1,story
39,콩은 사랑입니다 재밌게 잘 봤어요 원숭이 친구도 귀엽,1,story
40,입이 떡 벌어지는 스케일로 보는내내 개쩐다 싶은 장면만 나온 대단한 영화,1,directing
41,아무생각없이 편하게 보기 좋았어요,1,story
42,괴수들이 싸우는 게 전보다 더 많이 나와서 행복,1,story
43,잼…잼…잼….잼….,1,story
44,인간 분량은 최대한 줄이고 괴수들은 쿵쾅쿵쾅,0,story
45,세계관이 계속 확장하네요 ㅎ 프렌스포머까지 ㅋㅋ,1,story
46,금번 주인공은 미니 콩!,0,story
47,4DX 너무 재밌어요 곧영화는 4DX추천합니다,1,story
48,함께할 때 반드시 이겨낸다,1,story
49,4d로 봤어요 재미있어요,1,story
50,아이들과 같이보고싶은 영화내요.,1,story
51,4DX로 봐서 그런지 진짜 초반부터 움직임이 장난 아니더라구요. 콩의 처지나 이런 부분에서 감정도 느껴지고 고질라랑 합세해서 공격하는 장면은 뭐라 설명할 수 없었습니다 ㅜㅜ.,1,directing
52,키링타임용~영화~아무생각없이보면~재미밌음니다,1,story
53,오늘날씨좋은날신랑과함께콩고질라보러갔네요~시원하게스트래느한방에날리고왔네요~기존의와는달리신선하게다가오네요,1,story
54,아이가 좋아하는 장르네요,1,story
55,긴 시간에 비해 지루하지 않았어요,1,story
56,스케일이 크고 화면이 웅장하고 볼 만했고 우리 아들이 지금까지 본 영화 중 제일 재밌다고 함.,1,story
57,숨막히는 엑션 뻔하지만 그래도 시원한 결말 ~,1,story
58,큰거 한 방이 없는게 아쉬웠지만 관람비가 아깝지 않은 나쁘지 않은 괴수 영화,1,story
59,유치하지만 낭만있다 다만 거대함에서 오는 웅장함이 좀 부족한듯 시민들 너무불쌍하고 ㅠ,1,story
60,"모처럼 추억의 영화,,CG기술이 나날이 발전됨.",0,directing
