index,Review,sentiment_predicted,category
0,현실감 있는 영화 재밌게 봄,1,story
1,역시나 삼성제국의 능력은....,0,story
2,너무 기대했나.. 점점 집중이 안 되고 엥 싶은 결말이었다..🥺,0,story
3,배우분들 연기좋아요~^^ 스토리가 진짜로 있을거 같은 느낌에 더 몰입하면서 보게된 영화,1,story
4,마지막이 난해하긴 했지만 몰입감은 좋았어요 배우들 연기가 진짜 좋아요,1,actor
5,긴장감 있고 생각보다 재미있게 봤어요~,1,story
6,"조금 많이 지루했어요. 중간에 졸다가 마무리만봤어요. 우리구씨님, 그래도 화이팅",0,story
7,몰입감이 엄청난 영화!,1,story
8,"재밌었어요! 근데 결말이 뭔지모르겠어요,,",1,story
9,찝찝하게 끝나는 영화 열린 결말 안 좋아하는 저는 비추요,0,story
10,예매 해놓고 자서 취소도 못 하고 실관람평이 됐네요 손석구 짱!!,0,story
11,막막하면서 참 현실적이라 재밌게봤네요,1,story
12,실제이야기라니 영화 잘봤습니다 좋은영화던데 홍보가 부족했었던것같습니다,1,story
13,거짓에 거짓이 들어가니 뭘 뜻하는지 애매합니다,0,story
14,진행이 박진감이 넘치고 재미있게 봤어요.,1,story
15,색다른 영화 였습니다. 언론장악 빨리 사라지길,0,story
16,배우의 연기는 좋으나~ 뭔가 마무리가 ....,0,actor
17,삼성공화국 생각해보라고 만든건가봐요.,0,story
18,손석구 의리로 봄!!!,0,story
19,"시대의 냄새, 혼돈, 난장판",0,story
20,결말이 이상하고 내용 자체도 난해해서 두 번은 절대 안 볼 거 같아요.,0,story
21,임상진 바보라고 소문내야지,0,story
22,잘봣어요 지옥갈 사람들.. 천벌받길 바랍니다,1,story
23,"그냥 그럭저럭,,,합니다,",0,story
24,좋아요 😀 😀 😀 😀😀😀😀😀😀😀😀,1,story
25,님 이 어땠나요영화어땠나요영화,1,story
26,대단한 주제의식이 있는 듯한 초반부 기세에 비해 까면 깔수록 속이 비어있는 수박 겉핡기식 영화. 배우들의 연기와 신선한 소재는 좋았으나 사회비판이라고 하기엔 내용이 부실하고 오락성으로 즐기기엔 재미가 없다.,0,story
27,영화이지만 현실성 있는 스토리 잘봤습니다.,1,story
28,재미있게 잘 보았어요~<<,1,story
29,재미있게 보다 더 흥미있게 잘 보았네요.좋아요.,1,story
30,연기가 좋고 내용도 재밌었습니다.,1,story
31,재밌게 잘 봤습니다. 잘 만든 영화네요. 추천,1,story
32,영화 그 자체가 괴벨스 이런 참신한 시도는 계속 나와줘야한다. 백종원이 유명하다고 모든 가게가 단짠단짠이면 하향평준화의 시작,0,story
33,"내용을 모르고 가서 그런가 전혀 지루하지 않았고 오히려 재미있게 관람함. 열린 결말인 이유는 영화 내용 대부분이 사실에 가까워서 일부러 그랬다는 생각이 들고(사실을 너무 적시할 수 없으니?), 영화를 보고 나서 실제 사건을 찾아보고 비교하는 재미가 있었음. 평점 보고 고민했는데 보길 잘했음.",1,story
34,gooood gooood gooood,1,story
35,뭔가 심오하다 신기하다 뭔가 소름도돋고,1,story
36,뭐지.... 아. 그냥 열린 결말이면 다니.,1,story
37,"손석구님 보는 맛도 있었고, 온라인 세상에 대해 일장일단에 생각해 볼 지점이 있었어요",1,story
38,시간이 갈수록 뭔가가 아쉬운 이야기. 배우들 연기도 좋고 소재도 좋다. 다만 요즘 기자들에 대한 인식이나 주요 캐릭터에 대한 선정이 아쉬웠다는게 너무 큰거같다. 영화본이후 알아본 바로 원작에선 주인공이 댓글부대던데 확실히손석구의 캐릭터보다 그쪽이 비중이 크다는게 다가와서 참 아쉽다,1,actor
39,지루함 결말도 흐지부지,0,story
40,실화 영화답게 화려함은 없다 다만 우리나라에 몇 없는 저널리즘 영화가 나왔다는게 반갑고 감독의 시도가 멋있다 배우들의 연기는 말할것도없고 손석구 연기가 너무 좋았음,1,actor
41,ㅋㅋㅋㅋ어려운영화...,0,story
42,반전이 숨어있는 영화! 뭐랄까.. 요즘 현실 세상이랑도 비슷한 풍경인 거 같고 댓글 하나로 사람을 죽일 수도 살릴 수도 있구나 싶어서 무섭네요 ㅠㅠ 배우들 연기도캐릭터들이 다 본인 옷처럼 잘 맞았고 잘 봤습니다!,1,actor
43,전형적인 용두사미형 영화.,0,story
44,지루하지 않고 꽤나 재밌게 봤다,1,story
45,배우들의 연기는 좋앗으나 결말이 조금 미흡한것같습니다,0,actor
46,신선한 전개랄까 재밌게 봤어요,1,story
47,속도감 있는 연출이 좋고 배우 연기도 훌륭합니다. 웰메이드 수작임,1,actor
48,흥미진진하고 스토리 따라가며 열심히 추리(?)하느라 집중하며 관람했습니다. 배우들 전부 연기도 훌륭하고 추천합니다^^ 영화 다 보고나서 감독님 인터뷰 내용 확인하니 궁금했던 부분도 해소되고 감독님이 의도한 부분도 알게되고 좋았습니다. 영화본 후 감독님 인터뷰 보시는것도 추천!,1,story
49,내용 구성이 부실하고 배우의 연기력에 너무 의존한다는 느낌을 받았어요.,0,actor
50,엥? 싶음 진심 뭐... 어찌됐든 재밌게 봤습니다,1,story
51,생각했던것 보다 그렇게 재미있지는 않았습니다 스토리가 들쑥날쑥 어지러웠습니다. 최민식 우정출연인지 특별출연 인지 짧게 나왔내요 ㅋㅋ,0,story
52,bshsjshshsvdhdbf,1,story
53,용두사미 하고싶은 이야기가 뭔데,0,story
54,몰입도있고 좋았습니다,1,story
55,확실한 건 재밌습니다 ….,1,story
56,즐겁게 봤어요 그냥 딱 킬링타임용,1,story
57,너무너무너무 재미있게 잘 봤습니다,1,story
58,손석구님 나와서 봤어요,1,story
59,재미없습니다. 그냥 다큐보는게 낫습니다.,0,story
60,"이랬는데요, 요래 됐습니당. 거짓말이고 이렇게 됐습니당. 히히 속았죠? 사실은 이거였습니당.",0,story
61,불친절한 전개 실컷 설명해주며 막판엔 어설픈 오픈결말? 추천하긴 힘든영화,0,story
62,배우들의 연기력이 돋보이는 영화였습니다,1,actor
63,너무너무너무 재미있게 잘 봤습니다,1,story
64,재밌었는데 중간중간에 눈부신 장면이 많아서 힘들었음... 눈 아퍼,0,directing
65,"안좋은평이 많아서 걱정이 많았는데 걱정할필요없이 영화애 몰입했어요 호불호는 갈릴지언정 영화속 메시지가 주는 울림이 있기에 재밌는 관람이였습니다 앞으로도 이런영화가 계속 나오면 좋겠네용 감독님도 출연배우분들 모두 연출,연기 다 빠지는구석없이 좋았습니다!",1,actor
66,재미있었는데 중간에 살짝 지루하고 마지막에 뭔가 완벽히 끝난느낌이 없었어요,1,story
67,배우들의 연기가 좋아요.,1,actor
68,재미있게 보았습니다!!,1,story
69,볼만합니다볼만합니다,1,story
70,영화 재미나게 잘 봤습니다,1,story
71,재미있게 보았습니다~~~,1,story
72,살짝지루하긴했지만 잘봤어요 쏘쏘~,1,story
73,엄지로 누를 수 있는 건 키보드뿐만이 아니다,1,story
74,배우들 연기가 볼 만 했어요.,1,actor
75,미완성작 느낌.. 판다에 밀릴만 하다…?,0,story
76,재밌게 잘 봤습니다 ^^,1,story
77,재밌게 잘봤습니다...,1,story
78,"결말에서 힘이 빠지는게 다소 아쉬웠지만, 전개가 굉장히 치밀하고 재밌게 잘 봤어요! 어린배우들 연기가 진짜 좋았던 것 같아요",1,actor
79,아 이건 실존인가.. 현실인가.. 진짜 현실같은 픽션,1,story
80,재미나게 잘 봤습니다~~!!,1,story
81,영화가 뒤죽박죽인 느낌,0,story
82,거침없이 도착지를 향해 고속도로를 달리다가 출발지로 다시 유턴한 듯한 마무리. 그래도 시도는 좋았다,0,story
83,재밉게 본 영화 입니다 ^^,1,story
84,"와우,몰입도는 최고이면서 조석구님 연기도 돋보이고 느끼는게 많았다.거기 나온 조연들도 연기를 잘하고 또 보고싶은영화이다.",1,actor
85,진짜로 일어나는 일인가 의심되면서도 진짜 일어날 수 있는 일이다 생각되고 마무리가 다소 아쉬움,1,story
86,평점이 낮아서 기대 안 했는데 볼만한 거 같아요~,1,story
87,결론이 허무해서 더 좋음.,1,story
88,어디까지 사실인지 알수가 없다,0,story
89,댓글부대 결말이 애매해요,0,story
90,사실과 허구의 경계속에서 한번쯤 생각하게되는 영화네요,1,story
91,아주 재미있고 솔깃하네요,1,story
92,난해한 영화 이해하기 힘듬,0,story
93,현실에서 있을법한 이야기를 영화로 잘 그려내긴 한듯...,1,story
94,그냥저냥 그래요..흐지부지합니다 제값주고 봤으면 아까운 영화입니다,0,story
95,손석구는 기자가 맞긴 할까?,0,story
96,보고팠던 영화라 늦은감있지만. 잘보고왔어요~~~,1,story
97,지금도 어디선가 일어나고 있을 이야기,1,story
98,우리나라에서 이런 소재로 풀어내는 영화라니!! 재밌게봤습니다,1,story
99,쇼킹하면서 볼만 하네여.,1,story
100,생각보다 내용이 어수선하고 집중이 안됌 아쉽네요~~,0,story
101,"소재가 신선해서 좋았어요. 끝이 이상하다고 생각했는데, 지나고나서 앞의 내용들과 연관지어 생각해보니 이유가 있었다는걸 조금은 알 것 같아요.",1,story
102,나름 재밌음.사실인지 아닌지?,1,story
103,킬링타임용으로 재밌었어요:),1,story
