index,Review,sentiment_predicted,category
0,어떻게 또 3년을 기다리나.,1,story
1,매번 볼때마다 신비롭고 흥미롭다 3편이 너무 기대된다 남주는 갈수록 더 남자다워지고 멋있어지는듯!ㅎㅎ,1,story
2,너무 완벽한 리더와 종교에 대한 경고문,1,story
3,재미나게 봤어요 다음편이 기대가 됩니다,1,story
4,너무 보여주고 싶은 게 많아보였지만 괜춘,1,story
5,듄 파트2 영화 잘 봤어요.,1,story
6,리산 알 가입!! 다만 챠니나 이루란 모두 데이비드 린치 판이 나은 느낌임,1,story
7,엄청 재미있네요. 소설을 안 읽어봤는데도 꿀잼이네요,1,story
8,잘만든 영화지만 재미는 잘모르겠다,0,story
9,너무 좋은영화 입니다 배우들의 연기가 감명깊었고 영화배경과 내용이 참신했어요,1,story
10,"1편을 안보고 봐도 스토리가 이해되는 영화. 아이맥스로 봐야지 시각적,청각적으로 전달이 잘 되어서 좋음",1,story
11,대작이네요~ 재밌게 잘봤습니다^^,1,story
12,웅장하다 1안봐도 재밌어요,1,story
13,듄1보단 잼났음 근데 여기까지가 1편이몀 조앗을 듯,1,story
14,꼭 극방에서 봐랴하는영화입니다. 음악도 너무 좋았어요,1,directing
15,아아아 너무 늦게봤다 ㅠㅠㅠㅠ 진작보고 푹 빠져서 회전문 돌았어야했는데 ㅠㅠㅠ,1,story
16,파묘와 아바타 그리고 매드맥스가 보였다,1,story
17,듄3이 넘 기대되요 !!! 3시간이란 긴 시간동안에도 몰입하게되는 영화!!!,1,story
18,너무너무너무 잼나게 봤어요 여윽시𓏧 잘만들었어,1,story
19,너무 재미 있었습니다 ~ 전편에 너무 실망을 해서 기대 안했는데 너무 재미있었습니다,1,story
20,영화가 너무 길고.. ㅠ 아멕으로 안봐서인지 크게 기억에 남지는 않습니다,0,story
21,역시 아이맥스_ 모든것이 웅장했다,1,story
22,뭐하나깔꺼없는 완벽한 영화였습니다. 영화관에서 본게 정말 다행이네요,1,story
23,진짜 너무 재밌어요 영상퀄리티가 너무 좋고 스토리도 잘 짜여있습니다 역시 대작은 대작이네요 근데 세계관 때문에 1보고 보시는걸 추천드립니다!,1,story
24,모든 측면에서 1편보다 나은 2편.,0,story
25,3시간 순삭. 가슴을 울리는 사운드. 영화관에서 보는 맛이 충분한 영화. 서사가 좀 더 묘사됐다면 지루했을까??,1,story
26,지루하고 오글거리며 액션이 없습니다....,0,directing
27,영상미 대박임 완전 대박,1,story
28,듄3가 벌써 기다려지게만드는 영화였어요,1,story
29,듄 시리즈는 인생작으로 남을 게 분명합니다. 압도적이에요^^,1,story
30,1편에 대한 리뷰후 봤더니 몰입감 최고요,1,story
31,파트3가 기대되네요..,1,story
32,굿 굿 좋았음 티모시살라메 맛져,1,story
33,리산 알 가입! 리산 알 가입!,1,story
34,No jam jjang nojam,1,story
35,3시간이 슈욱 가버렸네요,1,story
36,생각한 만큼 재밌네요 그냥 쏘쏘…,1,story
37,듄2. 영화 별로예요 지루하고 재미없음,0,story
38,액션이 박진감 넘치고 좋았어요,1,directing
39,듄1이 나중에서야 기억이 나는 세월의 gap…,0,story
40,큰화면으로 보는게 제일 좋네요 추천합니다,1,story
41,1편보다 재미있어요. 한번 더봐야 되는데... 벌써 기다려진다. 제발 마블처럼 황천길 가지마라~,1,story
42,좀 지루하긴 했는데 마지막 20분간의 장면으로 다 소급됐어요,1,directing
43,모든게 완벽한 3편이 기다려지는 영화,1,story
44,7570446649489마,1,story
45,1보다 나은 2 정말 재미있었습니다!,1,story
46,4d 장난아니네여..,1,story
47,듄은 무조건 용아맥으로 봐야한더,0,story
48,생각보단 ㅜㅜ.너무기대했나 용아맥에서 봤는데.계속졸음,0,story
49,티모시 더 킹 연출 사운드 촤고,1,directing
50,너무 재밋었어요..!! 듄1보다 훨씬 재밋게 봤습니다 ;),1,story
51,2번 봤어요. 레이저관은 저링 안 맞는듯,1,story
52,개명작이다 또보러가야지,1,story
53,최고 다른설명이 필요없다,1,story
54,미친 영화. 처음부터 끝까지 영상미 미쵸땨,0,story
