index,Review,sentiment_predicted,category
0,민윤기천재짱짱뿡뿡맨💜,1,story
1,2023년 여름 행복했던 기억을 소환해줘서 고마워요,1,story
2,작년 감동의 소환. 현장에선 1열이아니었지만 큰화면으로보니 마치 1열같은 현장감👍🏻,1,story
3,"별로 기대 안하고 관람했는데, 슈가 음악을 음원으로 평소 듣는 것보다 훨씬 좋았어요. 역시 음악은 콘서트에서 직접 들어야 함.정말 음악성이 뛰어난 사람이라는 걸 실감한 시간이었습니다. 다시 한 번 더 관람하려고 합니다. 콘서트를 극장에서 처음 관람하는데 참 재밌고, 신선한 경험입니다",1,directing
4,요즘 스트레스 받아서 힘들었는데 오랜만에 아미소녀들과 소리지르고 응원하며 같이 웃고 아미밤 흔들어서 너무 재밌었습니다 !!,1,story
5,스토리가 맘에든다 ㅎㅎ,1,story
6,너무 감동적이네요 콘서트 준비하느라 수고하셨습니다 너무 재미있게 잘봤어요 그리고 너무 멋있으셨습니다최고예요 💜,1,story
7,민윤기 너무 잘생기고 랩 잘허고 멋있습니다!,1,story
8,다시 그곳에 있는것같아 행복했네요,1,story
9,슈가메리미슈가메리미,1,story
10,지난 여름의 추억과 감동을 다시금 느낄 수 있었다 윤기덕분에 너무 행복했어,1,story
11,괜히 아이맥스 아이맥스 하는게 아니네요. 모든것이 압도적이었습니다.,1,story
12,진짜 콘서트에서 듣는 것 같은 음향까진 아니지만 영상 짱 잘 뽑음 ㅠㅠ 다시 보러간다,1,directing
13,너무 즐거웠어요!ㅠㅠ,1,story
14,흥미롭고 재미나게 잘 관람했습니다~~^^*,1,story
15,"""부딧힐 것 같으면 더 세게 밟아 임마"" Never Mind",1,story
16,공연에 못가서 서운했는데 그래도 큰화면으로 보니 좋네요 “말랑말랑 하얀 찹쌀떡 같은” 윤기귀여워 ㅋ 방탄멤버 세명이랑 한 무대도 다 나오고 뿌잉어땠을까가 혹시 나오나 했는데 그건 없네요 ㅋㅋ 그건 찾아봐야할듯요,1,story
17,친절한 콘서트가 잘생기고 윤기가 화려해요,1,story
18,Feel like I was at the concert again. Had an amazing time with other Army. The only thing I didn't like was the location and not the movie itself....😭 I miss them now,1,story
19,콘서트를 아이맥스로 보니 현장감이 느껴져서 더 몰입할 수 있었습니다 좋은 공연을 큰 영화관에서 보니까 공연 실황을 그대로 느낄 수 있네요.,1,story
20,"오랜만에 추억팔이 하려고 보러 갔는데 전세를 낸 것 마냥 혼자 영화를 봤네요ㅎㅎ 작은 이벤트 같아서 너무 즐거웠구요 역시 슈가님 너무 멋있어요!! 정국, 지민, RM 모습도 볼 수 있어 행복했습니다 우리 방탄소년단 보고 싶다 사랑한다!!♡♡ (얼른 전역해!!)",1,story
21,공연하는 사람 민윤기.슈가 그리고 어거즈트 디 재밌었어요,1,story
22,콘서트현장에서는 놓쳤던 부분들 찾아보고 큰 화면 가득 미세한 표정변화도 보고 행복한 슈가 윤기를 볼 수 있어서 너무 고맙고 행복한 시간들이었어요,1,story
23,열정적인 무대매너에 또한번 반함,1,story
24,"윤기야... 영화보니까 다시 그날 생각나고,,, 하 첫 콘서트가 디데이 앵콜 막콘인게 행복하다.. 그리고 융기,, 보고싶어요... ㅠㅠ",1,story
25,고마워 내 가수 💜,1,story
26,50넘은 남자고 아미도 아니지만 시간가는줄 모르게 본 영화 콘서트. 가사 자막이 나왔으면 더 좋았지 않았나 싶다.,1,story
27,오랜만에 콘서트에 온 기분이었어요! 너무 좋았습니다!,1,story
28,아주아주 베리굿굿!!,1,story
29,여러분 꼭 보세요. 보고또보고 또또봐도 재밌음.아이맥스로 보면 더재밌음 슈가짱,1,story
30,최곱니다...!! 발라드파인데 재즈힙합장르를 좋아하는 1인 . 또다른 정통힙합의 파워와 감동을 간직하고 가네요 ^^,1,story
31,막콘은 못가서 후회가 남았었는데 이렇게 다시금 콘서트의 열기를 느껴서 너무 좋았습니다ㅠㅠ,1,story
32,콘서트때의 감동을 그대로 또 한번 느꼈어요,1,story
33,콘서트때와는 또 다른 감동 너무너무 즐거웠어요,1,story
34,직장때문에 체조콘서트는 못 갔었는데 좋네요 ㅠㅠ 앞으로 콘서트 영화관에서 많이 했으면 좋겠어요,1,story
35,콘서트와는 다른 느낌! 아미들과 함께여서 더 좋았습니다. 민윤기 미쳤다!!,1,story
36,민윤기천재짱짱맨뿡뿡🫶🏻,0,story
37,콘서트 감동을 다시 느꼈어요 사운드가 작아서 좀 아쉬웠어요,1,story
38,인생 최고 경험 6.24 6.25 콘서트 다녀오고 다시 경험하고 싶어 봤는데 정말 아름답고 좋은 경험인 것 같아요! 같이 온 팬들끼리 굿즈도 나눔하고 서로 이야기도 많이 하고 행복한 시간 보냈습니다!,1,story
39,2023년 8월 멋진슈가 최고의 콘서트를 아미들과 다시 느낄수있는 행복한 시간이 였습니다 방탄소년단 기다린다♡,1,story
